Dheere	B-PER
Marttena	I-PER
heeft	O
gecomuniceert	O
den	O
brieff	O
by	O
hem	O
ontfangen	O
vande	O
gedeputhe	B-ORG
Staten	I-ORG
van	I-ORG
Vrieslant	B-LOC
,	O
hen	O
beclagende	O
dat	O
nyettegenstaende	O
heurluyder	O
voergaende	O
scryuens	O
den	O
toe	O
voer	O
op	O
Groeningen	B-LOC
ende	O
Steenwyck	B-LOC
nyet	O
op	O
en	O
hondt	O
,	O
daer	O
wt	O
muyterie	O
ende	O
oproer	O
inde	O
provintie	B-LOC
van	I-LOC
Vrieslant	I-LOC
geschapen	O
es	O
t'ontstaen	O
met	O
voorder	O
peryckel	O
dat	O
de	O
schepen	O
ende	O
goederen	O
zullen	O
worden	O
geplundert	O
.	O
Verzueckende	O
daeromme	O
dat	O
dheeren	O
Staten	O
daerinne	O
zoude	O
willen	O
verzien	O
op	O
dat	O
de	O
voers	O
Inconnemienten	O
mochten	O
voorgecomen	O
worden	O
,	O
Es	O
gheresolueert	O
ende	O
geordt	O
ernstelyck	O
te	O
scryuen	O
aende	O
Collegien	B-ORG
vander	I-ORG
Admiraliteyt	I-ORG
tot	I-ORG
Amsterdam	B-LOC
,	I-LOC
ende	I-LOC
Noort	I-LOC
„	I-LOC
Hollant	I-LOC
,	O
ten	O
eynde	O
zy	O
terstonts	O
volgende	O
de	B-RES
resolutie	I-RES
genomen	I-RES
den	I-RES
xxiij	B-DAT
Decembris	I-DAT
lestleden	I-DAT
henluyden	O
aengescreven	O
den	O
voers	O
toevoer	O
op	O
Groeningen	B-LOC
ende	O
Steenwyck	B-LOC
verbieden	O
ende	O
doen	O
ophouden	O
daer	O
zulx	O
behoort	O
,	O
ten	O
dienste	O
vanden	O
Lande	O
,	O
ende	O
contentement	O
van	O
die	O
van	O
Vries	B-LOC
lant	I-LOC
.	O
